17,17,2,9,17,24,22,8,18,5,11,11,11,4,14,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,14,11,14,1,2,9,9,2,9,9,2,2,21,20,27,4,4,14,14,14,7,14,7,7,14,7
2,2,2,2,17,24,17,7,18,5,11,5,11,4,14,7,7,8,8,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,7,7,7,7,14,4,4,16,2,2,2,2,2,9,9,9,17,26,20,0,11,14,14,14,14,7,7,7,18,6
2,2,2,2,22,22,2,7,18,5,11,5,5,4,14,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,7,4,11,7,9,17,17,17,2,2,9,9,9,24,20,27,14,4,14,14,7,7,8,13,10,3
2,17,17,22,22,17,2,7,13,5,11,5,11,4,14,7,7,7,7,8,8,8,8,8,8,7,7,7,7,7,8,8,8,8,7,7,7,7,7,4,11,14,1,17,17,17,2,2,2,9,9,9,26,20,17,4,14,14,7,7,13,10,3,10
17,17,22,22,22,17,2,7,13,5,5,5,5,4,14,14,7,7,7,7,8,7,8,8,8,7,14,14,14,14,7,8,8,7,8,7,7,7,7,4,11,14,0,2,2,2,2,2,2,2,9,1,22,20,23,8,4,14,7,13,3,10,10,3
17,22,22,2,17,17,2,7,13,5,11,5,11,11,14,14,7,7,7,7,7,8,8,7,8,8,8,16,0,16,8,7,7,7,8,7,7,7,14,4,4,14,0,1,9,2,9,9,2,9,1,0,1,27,20,21,4,4,13,3,3,10,3,3
17,22,2,0,2,22,17,7,13,18,5,5,11,4,14,14,7,7,7,8,7,8,7,8,0,1,9,22,21,21,21,22,0,14,7,7,7,7,14,4,11,4,0,1,9,9,9,9,9,1,0,0,0,2,20,20,1,12,3,3,10,10,3,3
22,22,8,7,17,22,17,7,12,13,5,5,5,4,4,14,14,7,7,7,8,16,7,8,16,0,9,17,24,21,25,27,27,22,8,14,14,14,4,4,11,4,0,1,1,9,9,1,0,1,0,0,0,0,25,20,22,3,3,10,10,3,3,3
24,9,5,14,17,22,17,7,12,13,18,5,5,11,4,4,14,7,7,7,14,14,14,8,8,16,0,2,24,21,25,27,27,26,25,16,11,4,4,11,11,4,0,1,1,0,1,0,0,1,0,0,0,0,2,25,13,3,10,10,3,3,10,3
17,7,12,14,17,22,17,14,12,13,5,5,5,11,4,4,14,14,7,14,4,4,7,7,8,16,16,9,22,21,25,27,27,26,26,26,22,4,11,11,5,4,1,9,1,7,7,1,1,1,0,0,1,1,1,12,3,3,10,3,10,10,10,12
0,18,13,14,17,22,2,14,12,13,5,5,5,11,4,4,14,14,14,11,4,14,14,7,8,16,16,1,22,25,25,25,27,23,23,20,20,22,18,18,18,4,1,9,9,4,13,8,1,1,0,0,1,9,5,3,3,10,3,3,10,15,13,0
11,13,13,14,17,22,2,14,12,13,5,5,5,11,4,14,14,14,4,4,4,4,14,7,16,0,0,1,17,24,21,26,23,23,23,23,20,20,16,12,13,4,1,2,9,14,6,5,0,1,0,0,1,7,10,3,10,3,10,3,6,18,16,1
13,13,13,14,2,22,2,14,12,13,5,5,5,11,4,4,7,4,4,11,4,14,7,8,16,0,16,0,9,24,26,26,26,23,26,23,23,20,23,0,12,11,1,9,9,14,10,15,7,1,0,1,0,15,3,10,10,3,10,10,12,8,9,17
13,13,13,14,2,22,17,14,12,13,18,5,5,11,4,4,8,11,11,4,4,14,8,16,16,16,7,0,21,27,27,27,26,23,23,23,23,23,20,20,14,18,0,9,9,14,6,3,12,0,9,1,5,3,10,10,10,10,10,6,7,0,2,22
13,13,13,4,2,22,17,14,12,13,18,18,5,11,11,7,0,5,11,4,14,7,8,8,8,7,1,21,25,25,25,26,26,26,26,23,23,23,23,20,25,5,0,9,9,14,6,3,5,27,23,27,15,3,10,10,10,10,10,11,1,2,17,2
