10,2,11,7,14,14,14,14,14,1,0,13,18,13,1,3
13,9,5,7,15,14,0,22,0,1,14,22,2,18,5,24
15,0,5,16,1,15,0,21,17,0,15,14,0,1,12,8
11,0,5,7,7,15,9,21,20,20,9,7,2,8,19,0
16,9,5,1,1,14,13,23,21,17,17,17,21,19,1,10
7,9,5,15,0,14,14,1,14,23,17,23,7,4,22,13
7,9,5,7,0,16,8,8,0,17,10,11,12,7,18,13
16,9,5,7,7,19,12,14,2,21,2,8,19,9,13,2
11,2,11,16,4,12,3,0,14,22,16,8,3,22,2,13
4,9,16,4,19,4,11,6,10,13,15,8,1,2,18,20
3,2,5,4,3,5,8,15,9,2,3,4,9,9,17,20
4,22,3,4,7,8,12,5,0,14,12,3,9,9,20,20
3,2,4,8,11,8,24,4,0,10,15,5,6,6,21,7
7,2,8,12,4,3,12,11,0,18,20,6,0,18,2,3
7,2,19,24,8,19,8,1,0,22,17,18,16,13,16,4
14,2,19,12,8,12,5,6,0,9,23,21,11,7,4,4
